BUSName,BUSStreetName,BUSPostalCode,BUSCityName,BUSCode,COM_GRPName,BUSCountryCode,BUSCountryName
Sarl Es-Saada,"65, rue Colonel Lotfi",Maghnia,Tlemcen,13417,Sulphites group: crustaceans,DZ,Algeria
Sarl La Calle Fresh Fish Export,"Route de la pépinière n°04, El Kala ",El kala,El Taref,36427,"heavy metals susceptible fish, molluscs, crustaceans",DZ,Algeria
Sarl Muskaten,"01, Quai d'Arcachon port d'Alger",Alger,Alger,16404,"heavy metals susceptible fish, molluscs, crustaceans",DZ,Algeria
CAÑADAS SRL,"REPUBLICA DEL LIBANO 4279, QUILMES",Quilmes,Buenos Aires,4061,Dog chews,AR,Argentina
Euro S.A.,Saenz Peña 1595,Villa Gobernador Galvez,Santa Fe,4592,Dog chews,AR,Argentina
Granja Tres Arroyos S.A.,.,Concepcion Del Uruguay,Entre Rios,1610,Poultry meat preparations,AR,Argentina
Las Camelias S.A.,.,San Jose,Entre Rios,2589,Poultry meat preparations,AR,Argentina
NABADI S.R.L.,"RUTA Nº1 KM 83,5",General Pico,La Pampa,3295,"Flours, meals and pellets, CN 2301 and 230990",AR,Argentina
Agricola Jandelle S.A.,"Rod 369 km 178, S/N°",Rolandia,Paraná,1215,Poultry meat preparations,BR,Brazil
AVENORTE AVICOLA CIANORTE LTDA,"ESTRADA PARA FECULA KM 04 LOTES, 905 A 910 - BAIRRO: GLEBA PATRIMONIO CIANORTE",Cianorte,Paraná,4232,Poultry meat preparations,BR,Brazil
AVENORTE AVICOLA CIANORTE LTDA,"ESTRADA PARA FECULA KM 04 LOTES, 905 A 910 - BAIRRO: GLEBA PATRIMONIO CIANORTE",Cianorte,Paraná,4232,Unique Commodity Code Group for  051199,BR,Brazil
BELLO ALIMENTOS LTDA,.,Itaquirai,Mato Grosso do Sul,3409,Poultry meat preparations,BR,Brazil
BRF S. A.,ROD. BR 060 KM 394 S/N° BAIRRO: SETOR INDUSTRIAL,Rio Verde,Goias,1001,Fresh poultry meat,BR,Brazil
BRF S. A.,"Rod. RS 324, S/N°, Km 76",Marau,Rio Grande do Sul,2014,Fresh poultry meat,BR,Brazil
